,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015,job_growth_per
317,29692,STANDARD,0,Ware Shoals,,,SC,Laurens County,America/New_York,864,,US,34.39,-82.24,3840,2.5
318,29693,STANDARD,0,Westminster,Madison,,SC,Oconee County,America/New_York,864,,US,34.66,-83.09,11730,2.5
319,29695,UNIQUE,0,Hodges,,Wayside Nurseries,SC,Greenwood County,America/New_York,864,,US,34.28,-82.24,0,2.5
320,29696,STANDARD,0,West Union,,,SC,Oconee County,America/New_York,864,,US,34.76,-83.04,4060,2.5
321,29697,STANDARD,0,Williamston,,,SC,Anderson County,America/New_York,864,,US,34.61,-82.47,11380,2.5
322,29698,UNIQUE,1,Greenville,,Bmg Columbia Hse Music Club,SC,Greenville County,America/New_York,864,,US,34.91,-82.09,0,2.0
323,29702,STANDARD,0,Blacksburg,"Cherokee Falls, Cherokee Fls, Kings Creek",,SC,Cherokee County,America/New_York,864,,US,35.12,-81.51,8050,2.0
324,29704,STANDARD,0,Catawba,,,SC,York County,America/New_York,803,,US,34.85,-80.91,3100,-0.7
325,29706,STANDARD,0,Chester,,,SC,Chester County,America/New_York,803,,US,34.7,-81.21,16420,-0.7
326,29707,STANDARD,0,Fort Mill,Indian Land,Ft Mill,SC,Lancaster County,America/New_York,803,,US,34.99,-80.86,25710,-0.7
327,29708,STANDARD,0,Fort Mill,Tega Cay,Ft Mill,SC,York County,America/New_York,803,,US,35.05,-80.99,30240,2.0
328,29709,STANDARD,0,Chesterfield,,,SC,Chesterfield County,America/New_York,843,,US,34.73,-80.08,5100,2.1
329,29710,STANDARD,0,Clover,"Lake Wylie, River Hills",Lk Wylie,SC,York County,America/New_York,803,,US,35.11,-81.22,30670,2.0
330,29712,STANDARD,0,Edgemoor,,,SC,Chester County,America/New_York,803,,US,34.8,-81.01,2120,-0.7
331,29714,STANDARD,0,Fort Lawn,,Ft Lawn,SC,Chester County,America/New_York,803,,US,34.7,-80.89,2470,-0.7
332,29715,STANDARD,0,Fort Mill,,,SC,York County,America/New_York,803,,US,35.0,-80.94,30280,2.0
333,29717,STANDARD,0,Hickory Grove,,,SC,York County,America/New_York,803,,US,34.98,-81.41,1190,2.0
334,29718,STANDARD,0,Jefferson,,,SC,Chesterfield County,America/New_York,843,,US,34.65,-80.38,2930,2.1
335,29720,STANDARD,0,Lancaster,,,SC,Lancaster County,America/New_York,803,,US,34.72,-80.77,37910,-0.7
336,29722,UNIQUE,0,Lancaster,,Hosiery Corp Of America,SC,Lancaster County,America/New_York,803,,US,34.72,-80.77,0,-0.7
337,29726,STANDARD,0,Mc Connells,,Mcconnells,SC,York County,America/New_York,803,,US,34.86,-81.22,1570,2.0
338,29727,STANDARD,0,Mount Croghan,,,SC,Chesterfield County,America/New_York,843,,US,34.76,-80.22,1170,2.1
339,29728,STANDARD,0,Pageland,,,SC,Chesterfield County,America/New_York,843,,US,34.77,-80.38,7690,2.1
340,29729,STANDARD,0,Richburg,,,SC,Chester County,America/New_York,803,,US,34.71,-81.02,2060,-0.7
341,29730,STANDARD,0,Rock Hill,,,SC,York County,America/New_York,803,,US,34.93,-81.02,47140,2.0
342,29732,STANDARD,0,Rock Hill,,,SC,York County,America/New_York,803,,US,34.97,-81.08,53640,2.0
343,29733,UNIQUE,0,Rock Hill,,"Winthrop University, Withrop College",SC,York County,America/New_York,803,,US,34.94,-81.03,119,2.0
344,29734,STANDARD,0,Rock Hill,,,SC,York County,America/New_York,803,,US,34.93,-81.02,0,2.0
345,29741,STANDARD,0,Ruby,,,SC,Chesterfield County,America/New_York,843,,US,34.74,-80.17,1550,2.1
346,29742,STANDARD,0,Sharon,,,SC,York County,America/New_York,"803,864",,US,34.95,-81.34,2100,2.0
347,29743,STANDARD,0,Smyrna,,,SC,York County,America/New_York,"864,803",,US,35.04,-81.41,1020,2.0
348,29745,STANDARD,0,York,,,SC,York County,America/New_York,803,,US,34.99,-81.23,27210,2.0
349,29801,STANDARD,0,Aiken,,,SC,Aiken County,America/New_York,803,,US,33.54,-81.72,20800,-0.7
350,29803,STANDARD,0,Aiken,,,SC,Aiken County,America/New_York,803,,US,33.49,-81.76,34660,-0.7
351,29805,STANDARD,0,Aiken,,,SC,Aiken County,America/New_York,803,,US,33.65,-81.6,4890,-0.7
352,29808,UNIQUE,0,Aiken,,E I Dupont Co,SC,Aiken County,America/New_York,803,,US,33.54,-81.72,0,-0.7
353,29809,STANDARD,0,New Ellenton,,,SC,Aiken County,America/New_York,803,,US,33.41,-81.68,2000,-0.7
354,29810,STANDARD,0,Allendale,,Seigling,SC,Allendale County,America/New_York,803,,US,33.0,-81.3,3450,1.6
355,29812,STANDARD,0,Barnwell,Kline,Snelling,SC,Barnwell County,America/New_York,803,,US,33.24,-81.36,9660,-0.7
356,29817,STANDARD,0,Blackville,,,SC,Barnwell County,America/New_York,803,,US,33.36,-81.28,3450,-0.7
357,29819,STANDARD,0,Bradley,,"Callison, Promised Land",SC,Greenwood County,America/New_York,864,,US,34.04,-82.21,1280,2.5
358,29821,STANDARD,0,Clarks Hill,,,SC,McCormick County,America/New_York,864,,US,33.63,-82.14,1250,2.5
359,29824,STANDARD,0,Edgefield,,"Cleora, Meeting Street, Pleasant Lane",SC,Edgefield County,America/New_York,803,,US,33.78,-81.93,5100,-0.7
360,29827,STANDARD,0,Fairfax,,Barton,SC,Allendale County,America/New_York,803,,US,32.95,-81.23,2180,1.6
361,29828,STANDARD,0,Gloverville,,,SC,Aiken County,America/New_York,803,,US,33.52,-81.83,740,-0.7
362,29829,STANDARD,0,Graniteville,,,SC,Aiken County,America/New_York,803,,US,33.56,-81.81,9660,-0.7
363,29831,STANDARD,0,Jackson,,"Dunbarton, Savannah River Plant",SC,Aiken County,America/New_York,803,,US,33.32,-81.79,3250,-0.7
364,29832,STANDARD,0,Johnston,,,SC,Edgefield County,America/New_York,803,,US,33.83,-81.8,4800,-0.7
365,29835,STANDARD,0,Mc Cormick,,"Bordeaux, Britts, Willington",SC,McCormick County,America/New_York,864,,US,33.91,-82.29,5110,2.5
366,29836,STANDARD,0,Martin,,,SC,Allendale County,America/New_York,803,,US,33.06,-81.47,330,1.6
367,29838,STANDARD,0,Modoc,,Colliers,SC,Edgefield County,America/New_York,864,,US,33.75,-82.15,440,2.5
368,29840,STANDARD,0,Mount Carmel,,,SC,McCormick County,America/New_York,864,,US,34.0,-82.5,190,2.5
369,29841,STANDARD,0,North Augusta,"Beech Island, Belvedere",,SC,Aiken County,America/New_York,803,,US,33.51,-81.95,27760,-0.7
370,29842,STANDARD,0,Beech Island,,North Augusta,SC,Aiken County,America/New_York,803,,US,33.48,-81.89,6380,-0.7
371,29843,STANDARD,0,Olar,,,SC,Bamberg County,America/New_York,803,,US,33.18,-81.18,930,-0.7
372,29845,STANDARD,0,Plum Branch,Parksville,,SC,McCormick County,America/New_York,864,,US,33.84,-82.25,870,2.5
373,29847,STANDARD,0,Trenton,,Eureka,SC,Edgefield County,America/New_York,,,US,33.74,-81.84,4250,-0.7
374,29848,STANDARD,0,Troy,,,SC,Greenwood County,America/New_York,864,,US,33.97,-82.08,670,2.5
375,29849,STANDARD,0,Ulmer,,,SC,Allendale County,America/New_York,803,,US,33.09,-81.2,190,1.6
376,29851,STANDARD,0,Warrenville,,"Burnettown, Mixville, Stiefeltown",SC,Aiken County,America/New_York,803,,US,33.51,-81.82,6560,-0.7
377,29853,STANDARD,0,Williston,,White Pond,SC,Barnwell County,America/New_York,803,,US,33.4,-81.42,5050,-0.7
378,29856,STANDARD,0,Windsor,,,SC,Aiken County,America/New_York,803,,US,33.48,-81.51,2260,-0.7
379,29860,STANDARD,0,North Augusta,,,SC,Edgefield County,America/New_York,803,,US,33.61,-81.98,13820,-0.7
