Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201803,29053,"Gaston, SC",Single Family Home,*,92474.75,-0.2265,0.0506,40,0.1429,-0.1837,40.25,-0.1436,,16,-0.2727,0.6,0,,,8,1,0.3333,0,,,112904,-0.0334,0.0426,40,0.1429,-0.1837,0,0,0
201803,29054,"Gilbert, SC",Single Family Home,*,342314.5,0.0098,,45,0.1842,,52.5,-0.4199,,18,0.2857,0.125,0,-1,,8,1,0.3333,0,,,365996,-0.0111,-0.0706,45,0.1842,0.6667,0,0,0
201803,29061,"Hopkins, SC",Single Family Home,,145050,0.074,-0.0328,39.5,0.58,-0.1319,32,-0.4074,-0.2849,24,1,0.3333,0,,,8,0,0,0,,,168753,0.1296,0.0259,39.5,0.58,-0.1319,0,0,0
201803,29063,"Irmo, SC",Single Family Home,,238175,0.0378,0.0246,157.5,-0.0367,-0.0094,60.25,-0.1573,0.1315,70,0.25,-0.0541,2,,,34,-0.1905,0.2143,0,,,288377,0.058,0.0114,157.5,-0.0367,-0.0094,0,0,0
201803,29067,"Kershaw, SC",Single Family Home,*,99725,0.0068,,43.5,-0.0225,,90,-0.0576,,8,3,1,0,,,8,0,,8,0,-0.3846,143817,0.0563,0.3435,51.5,-0.019,0.241,0.1839,0.0041,-0.2722
201803,29070,"Leesville, SC",Single Family Home,,246775,0.1613,0.1125,44,0.0353,-0.3803,56,-0.2774,-0.0175,18,1.25,-0.1818,0,,,10,4,0.25,0,,,296183,0.0052,0.0319,44,0.0353,-0.3803,0,0,0
201803,29072,"Lexington, SC",Single Family Home,*,279412.5,0.0206,,344.5,0.0029,,67.5,-0.129,,146,0.587,-0.3967,20,-0.0909,-0.3333,82,0.1081,-0.2407,0,,,332129,-0.0013,0.1168,344.5,0.0029,-0.2686,0,0,0
201803,29073,"Lexington, SC",Single Family Home,*,182474.75,0.0478,0.081,151,-0.0848,,51.75,0.1829,-0.2189,52,-0.3158,-0.4583,22,-0.2667,1.75,40,0.6667,-0.3103,0,,-1,190729,0.0236,0.1019,151,-0.0848,-0.3363,0,0,-0.0044
201803,29078,"Lugoff, SC",Single Family Home,,188159.75,-0.0054,0.1147,63.5,0.0763,0.0242,53.25,-0.1514,0.1152,22,0.2222,-0.2143,0,,,16,0.6,0.3333,0.5,,-0.5,187648,-0.0008,0.0781,64,0.0847,0.0159,0.0079,0.0079,-0.0083
201803,29102,"Manning, SC",Single Family Home,,213200,-0.0639,0.0936,108.5,0.085,-0.1107,172.5,-0.1534,0.1022,28,0.2727,0.5556,0,,,12,-0.1429,0.5,20.5,0.4138,0.2059,231908,-0.026,0.0409,129,0.1266,-0.0719,0.1889,0.0439,0.0496
201803,29108,"Newberry, SC",Single Family Home,*,121250,0.0373,0.1659,50.5,-0.1984,,124.5,0.0551,0.0289,4,-0.7778,-0.8,0,,,12,0,0.2,0.5,-0.5,,135317,0.0033,0.0468,51,-0.2031,-0.3289,0.0099,-0.006,0.0099
201803,29115,"Orangeburg, SC",Single Family Home,*,115050,0.0457,,149,-0.0165,0,153.75,0.064,-0.2136,14,-0.3636,-0.3,0,,,22,0.5714,0.2222,0,,,144229,0.0257,0.2489,149,-0.0165,0,0,0,0
201803,29118,"Orangeburg, SC",Single Family Home,,166450,0.0398,0.0552,78,-0.0127,-0.1136,94.25,-0.0805,-0.2162,12,-0.3333,-0.4,0,,,10,-0.2857,0.25,0,,,201428,0.0334,0.0753,78,-0.0127,-0.1136,0,0,0
201803,29127,"Prosperity, SC",Single Family Home,,327500,0.0685,0.238,43,0,-0.1042,82.75,-0.2024,0.1949,14,0.4,0.4,0,,,8,3,1,0,,,362389,0.0167,0.0033,43,0,-0.1042,0,0,0
201803,29130,"Ridgeway, SC",Single Family Home,,298300,-0.0433,0.0955,36.5,-0.0135,-0.3364,131.5,-0.054,0.0499,12,1,-0.1429,0,,,2,-0.5,-0.5,0,,,335133,-0.0043,0.0975,36.5,-0.0135,-0.3364,0,0,0
201803,29135,"Saint Matthews, SC",Single Family Home,,159550,-0.007,0.1474,20.5,0.2059,-0.18,166.75,-0.3208,0.1043,2,-0.6667,,0,,,0,-1,,1,-0.3333,0,294624,-0.0972,0.1992,21.5,0.1622,-0.1731,0.0488,-0.0395,0.0088
201803,29142,"Santee, SC",Single Family Home,,219500,-0.0025,0.0477,51,-0.0286,-0.378,186.25,-0.1417,0.5489,8,0,-0.5,0,,-1,6,-0.5,-0.4,7.5,0.6667,-0.2105,275100,-0.0145,0.1454,58.5,0.0263,-0.3607,0.1471,0.0613,0.0312
201803,29148,"Summerton, SC",Single Family Home,*,284500,-0.0242,0.0163,48,0,,232.5,0.13,0.8902,8,3,0,0,,,4,-0.3333,,1.5,-0.7,-0.6667,320060,-0.0128,0.0453,49.5,-0.066,-0.175,0.0313,-0.0729,-0.0498
201803,29150,"Sumter, SC",Single Family Home,*,162050,-0.0304,,208,-0.0545,-0.2753,101,-0.192,-0.1179,68,0.36,0.0625,2,0,-0.6667,28,-0.3636,-0.4167,91,0.2727,0.3788,181809,0.0239,-0.0075,299,0.0257,-0.153,0.4375,0.1125,0.2075
